uuid,glyphs,classes,place-name,county-iv,county,hundred-iv,hundred,coordinates-iv,coordinates,WKT
IV1680-317-31,⛪,parish,Sixhill,Lincoln,Lincolnshire,Wraggo,Wraggoe,"53 23 0 08W","53.38 -0.13","POINT(-0.13 53.38)"
IV1680-317-32,ʘ,seat-gentleman,"Sixhill Abby",Lincoln,Lincolnshire,Wraggo,Wraggoe,"53 24 0 08W","53.4 -0.13","POINT(-0.13 53.4)"
IV1680-317-33,ʘ,seat-gentleman,"Sixhill Grange",Lincoln,Lincolnshire,Wraggo,Wraggoe,"53 23 0 08W","53.38 -0.13","POINT(-0.13 53.38)"
IV1680-317-34,⛪,parish,Sixwold,Lincoln,Lincolnshire,Horncastle,Horncastle,"53 17 0 01W","53.28 -0.01","POINT(-0.01 53.28)"
IV1680-317-35,①,settlement-gentlemen-1,Skaklethorp,"York E.R.","Yorkshire East Riding",Buccross,Buckrose,"54 12 0 29W","54.2 -0.48","POINT(-0.48 54.2)"
IV1680-317-36,①,settlement-gentlemen-1,Skalingdam,"York N.R.","Yorkshire North Riding",Langbargh,Langbaurgh,"54 31 0 34W","54.51 -0.56","POINT(-0.56 54.51)"
IV1680-317-37,⸸,seat-knight,Skalshall,Cumberland,Cumberland,"Lethward W.","Leath Ward","54 51 2 31W","54.85 -2.51","POINT(-2.51 54.85)"
IV1680-317-38,①,settlement-gentlemen-1,"Skalthwate Rigg",Westmorland,Westmorland,"Kendal Ward","Kendal Ward","54 30 2 15W","54.5 -2.25","POINT(-2.25 54.5)"
IV1680-317-39,,,Skaneston,"York E.R.","Yorkshire East Riding",Buccross,Buckrose,"54 14 0 27W","54.23 -0.45","POINT(-0.45 54.23)"
IV1680-317-40,①,settlement-gentlemen-1,Skargil,"York N.R.","Yorkshire North Riding",Gillingwest,Agbrigg,"54 33 1 37W","54.55 -1.61","POINT(-1.61 54.55)"
IV1680-317-41,,,"N. Skarth",Lancaster,Lancashire,Loynsdale,"Lonsdale Ward","54 17 3 03W","54.28 -3.05","POINT(-3.05 54.28)"
IV1680-317-42,①,settlement-gentlemen-1,Skattergate,Westmorland,Westmorland,"East Ward","East Ward","54 39 2 03W","54.65 -2.05","POINT(-2.05 54.65)"
IV1680-317-43,⛪,parish,Skawton,"York N.R.","Yorkshire North Riding",Rydall,Morley,"54 18 0 53W","54.3 -0.88","POINT(-0.88 54.3)"
IV1680-317-44,①,settlement-gentlemen-1,Skearn,"York E.R.","Yorkshire East Riding",Harthill,Harthill,"53 58 0 16W","53.96 -0.26","POINT(-0.26 53.96)"
IV1680-317-45,①,settlement-gentlemen-1,Skeby,"York N.R.","Yorkshire North Riding",Gillingwest,Agbrigg,"54 28 1 26W","54.46 -1.43","POINT(-1.43 54.46)"
IV1680-317-46,⛪,parish,Skeckling,"York E.R.","Yorkshire East Riding",Holderness,Osgoldcross,"53 59 0 02E","53.98 0.03","POINT(0.03 53.98)"
IV1680-317-47,①,settlement-gentlemen-1,Skessington,Leicester,Leicestershire,"E. Goscote","East Goscote","52 40 0 47W","52.66 -0.78","POINT(-0.78 52.66)"
IV1680-317-48,⛪,parish,Skesling,"York E.R.","Yorkshire East Riding",Holderness,Osgoldcross,"53 43 0 11E","53.71 0.18","POINT(0.18 53.71)"
IV1680-317-49,①,settlement-gentlemen-1,Skegby,Nottingham,Nottinghamshire,Broxtow,Broxtow,"53 12 1 06W","53.2 -1.1","POINT(-1.1 53.2)"
IV1680-317-50,⛪,parish,Skegnes,Lincoln,Lincolnshire,Candleshow,Candleshoe,"53 15 0 23E","53.25 0.38","POINT(0.38 53.25)"
IV1680-317-51,,,Skelderskew,"York N.R.","Yorkshire North Riding",Langbargh,Langbaurgh,"54 30 0 40W","54.5 -0.66","POINT(-0.66 54.5)"
IV1680-317-52,,,Skeldick,Lincoln,Lincolnshire,Kirton,Kirton,"52 59 0 05E","52.98 0.08","POINT(0.08 52.98)"
IV1680-317-53,✋°①,settlement-baronet|settlement-gentlemen-1,Skellingthorp,Lincoln,Lincolnshire,Boothby,Boothby,"53 17 0 30W","53.28 -0.5","POINT(-0.5 53.28)"
IV1680-317-54,✋°,settlement-baronet,Skellow,"York W.R.","Yorkshire West Riding",Osgodcross,Osgoldcross,"53 40 0 57W","53.66 -0.95","POINT(-0.95 53.66)"
