uuid,glyphs,classes,place-name,county-iv,county,hundred-iv,hundred,coordinates-iv,coordinates,WKT
IV1680-230-08,③⛨❋,settlement-gentlemen-3+|society,"Magdalen Hall",Oxon,Oxfordshire,"C. of OXFO","City Of Oxford","51 46 1 08W","51.76 -1.13","POINT(-1.13 51.76)"
IV1680-230-09,ʘ,seat-gentleman,"Maggott Mill",Wilts,Wiltshire,Ambresbury,Amesbury,"51 16 1 44W","51.26 -1.73","POINT(-1.73 51.26)"
IV1680-230-10,ʘ,seat-gentleman,Maghall,Lancaster,Lancashire,"W. Darby","West Derby","53 38 2 23W","53.63 -2.38","POINT(-2.38 53.63)"
IV1680-230-11,,,Maghegry,Flint,Flintshire,Rudland,Rhuddlan,"53 20 3 14W","53.33 -3.23","POINT(-3.23 53.33)"
IV1680-230-12,①,settlement-gentlemen-1,Maghen,Glamorgan,Glamorganshire,Caerphilly,Caerphilly,"51 40 3 11W","51.66 -3.18","POINT(-3.18 51.66)"
IV1680-230-13,②,settlement-gentlemen-2,Maghen,Monmoth,Monmouthshire,Wenlooge,Wentllooge,"51 40 3 09W","51.66 -3.15","POINT(-3.15 51.66)"
IV1680-230-14,ʘ,seat-gentleman,"Maghen House",Monmoth,Monmouthshire,Wenlooge,Wentllooge,"51 40 3 09W","51.66 -3.15","POINT(-3.15 51.66)"
IV1680-230-15,③,settlement-gentlemen-3,Maghor,Monmoth,Monmouthshire,Caldicot,Caldicott,"51 38 2 49W","51.63 -2.81","POINT(-2.81 51.63)"
IV1680-230-16,①,settlement-gentlemen-1,Mahallen,Hereford,Herefordshire,Huntington,Huntington,"52 13 3 00W","52.21 -3","POINT(-3 52.21)"
IV1680-230-17,①=,settlement-gentlemen-1|direction|market,MAIDEN-BRADLEY,Wilts,Wiltshire,Mere,Mere,"51 23 2 20W","51.38 -2.33","POINT(-2.33 51.38)"
IV1680-230-18,,,Maiden-cross,Hartford,Hertfordshire,Hitchin,Hitchin,"51 58 0 17W","51.96 -0.28","POINT(-0.28 51.96)"
IV1680-230-19,③⛨=,settlement-gentlemen-3+|direction|market,MAIDENHEAD,Barks,Berkshire,Bray,Bray,"51 31 0 37W","51.51 -0.61","POINT(-0.61 51.51)"
IV1680-230-20,①,settlement-gentlemen-1,Maidford,Northampton,Northamptonshire,Norton,Norton,"52 14 1 02W","52.23 -1.03","POINT(-1.03 52.23)"
IV1680-230-21,⛪,parish,Maidhurst,Sussex,Sussex,"Arundel Ra.","Arundel Rape","50 55 0 35W","50.91 -0.58","POINT(-0.58 50.91)"
IV1680-230-22,✋°①,settlement-baronet|settlement-gentlemen-1,"Maids Morton",Buckingham,Buckinghamshire,Buckingham,Buckingham,"52 03 0 56W","52.05 -0.93","POINT(-0.93 52.05)"
IV1680-230-23,③⛨✋⸸(2)=,settlement-gentlemen-3+|seat-baronet|seat-knight|parliament-2|direction|market,MAIDSTON,Kent,Kent,"Aylesford La.","Aylesford Lath","51 17 0 30E","51.28 0.5","POINT(0.5 51.28)"
IV1680-230-24,①,settlement-gentlemen-1,Maidwell,Lincoln,Lincolnshire,Loutheask,Louth-eske,"53 22 0 05E","53.36 0.08","POINT(0.08 53.36)"
IV1680-230-25,✋°,settlement-baronet,Maidwell,Northampton,Northamptonshire,Rothwell,"Morpeth Ward","52 26 0 48W","52.43 -0.8","POINT(-0.8 52.43)"
IV1680-230-26,⛪,parish,Maidwell,Northampton,Northamptonshire,Rothwell,"Morpeth Ward","52 26 0 48W","52.43 -0.8","POINT(-0.8 52.43)"
IV1680-230-27,①,settlement-gentlemen-1,"Maier Chappel",Anglesey,Anglesey,Maltracts,Malltraeth,"53 27 4 18W","53.45 -4.3","POINT(-4.3 53.45)"
IV1680-230-28,,,Maies,Sussex,Sussex,"Pevensey Ra.","Pevensey Rape","50 52 0 08E","50.86 0.13","POINT(0.13 50.86)"
IV1680-230-29,,,Main,Montgomery,Montgomeryshire,Mechavi,Mechain,"52 48 3 11W","52.8 -3.18","POINT(-3.18 52.8)"
IV1680-230-30,⛪,parish,Mainhead,Devon,Devon,Exmister,Exminster,"50 40 3 45W","50.66 -3.75","POINT(-3.75 50.66)"
IV1680-230-31,①,settlement-gentlemen-1,Mains,Lancaster,Lancashire,Amounderness,Bassetlaw,"53 56 2 43W","53.93 -2.71","POINT(-2.71 53.93)"
IV1680-230-32,ʘ,seat-gentleman,Mainston,Southampton,Hampshire,Kingsomborn,"Kings Sombourn","51 01 1 29W","51.01 -1.48","POINT(-1.48 51.01)"
IV1680-230-33,ʘ,seat-gentleman,Mais-maure,Montgomery,Montgomeryshire,"Istrad March.","Ystrad Marchell","52 45 3 13W","52.75 -3.21","POINT(-3.21 52.75)"
IV1680-230-34,①,settlement-gentlemen-1,Mais-more,Glocester,Gloucestershire,Dudston,Dudstone,"51 53 2 09W","51.88 -2.15","POINT(-2.15 51.88)"
IV1680-230-35,①,settlement-gentlemen-1,Makely,Darby,Derbyshire,Appletree,Appletree,"53 00 1 39W","53 -1.65","POINT(-1.65 53)"
IV1680-230-36,①,settlement-gentlemen-1,Makeney,Darby,Derbyshire,Appletree,Appletree,"53 05 1 21W","53.08 -1.35","POINT(-1.35 53.08)"
IV1680-230-37,,,Maker,Cornwal,Cornwall,East,Alstoe,"50 26 4 26W","50.43 -4.43","POINT(-4.43 50.43)"
IV1680-230-38,①,settlement-gentlemen-1,Makestock,Warwick,Warwickshire,Hemlingford,Hemlingford,"52 34 1 36W","52.56 -1.6","POINT(-1.6 52.56)"
IV1680-230-39,ʘ,seat-gentleman,"Makestock Castle",Warwick,Warwickshire,Hemlingford,Hemlingford,"52 35 1 37W","52.58 -1.61","POINT(-1.61 52.58)"
IV1680-230-40,ʘ,seat-gentleman,"Makestock Priory",Warwick,Warwickshire,Hemlingford,Hemlingford,"52 34 1 36W","52.56 -1.6","POINT(-1.6 52.56)"
IV1680-230-41,,,Maladar,Cornwal,Cornwall,Powder,Powder,"50 33 5 06W","50.55 -5.1","POINT(-5.1 50.55)"
IV1680-230-42,②,settlement-gentlemen-2,Malborough,Devon,Devon,Stanborough,Stanborough,"50 19 4 03W","50.31 -4.05","POINT(-4.05 50.31)"
IV1680-230-43,,,Machanger,Southampton,Hampshire,Chuteley,Chuteley,"51 19 1 06W","51.31 -1.1","POINT(-1.1 51.31)"
IV1680-230-44,,,Maldens,Surry,Surrey,Kingston,Kingston,"51 26 0 11W","51.43 -0.18","POINT(-0.18 51.43)"
IV1680-230-45,③⛨(2)=,settlement-gentlemen-3+|parliament-2|direction|market,MALDON,Essex,Essex,Dengy,Dengie,"51 47 0 44E","51.78 0.73","POINT(0.73 51.78)"
IV1680-230-46,ʘ,seat-gentleman,"Maldon Hall",Essex,Essex,Dengy,Dengie,"51 46 0 44E","51.76 0.73","POINT(0.73 51.76)"
IV1680-230-47,,,"Maldon Jenkins",Essex,Essex,Dengy,Dengie,"51 45 0 44E","51.75 0.73","POINT(0.73 51.75)"
IV1680-230-48,,,Mallecks,Hartford,Hertfordshire,Branghing,Braughing,"51 52 0 05E","51.86 0.08","POINT(0.08 51.86)"
IV1680-230-49,⛪,parish,"Mallerthorp St. Mary",Lincoln,Lincolnshire,Calceworth,Calceworth,"53 20 0 15E","53.33 0.25","POINT(0.25 53.33)"
IV1680-230-50,⛪,parish,"Mallerthorp St. Peters",Lincoln,Lincolnshire,Calceworth,Calceworth,"53 20 0 16E","53.33 0.26","POINT(0.26 53.33)"
IV1680-230-51,ʘ,seat-gentleman,"Malling Abby",Kent,Kent,"Aylesford La.","Aylesford Lath","51 19 0 22E","51.31 0.36","POINT(0.36 51.31)"
IV1680-230-52,✋°①,settlement-baronet|settlement-gentlemen-1,"Malling East",Kent,Kent,"Aylesford La.","Aylesford Lath","51 19 0 24E","51.31 0.4","POINT(0.4 51.31)"
IV1680-230-53,②=,settlement-gentlemen-2|direction|market,"MALLING West",Kent,Kent,"Aylesford La.","Aylesford Lath","51 19 0 22E","51.31 0.36","POINT(0.36 51.31)"
IV1680-230-54,①,settlement-gentlemen-1,Malmerton,Darby,Derbyshire,Appletree,Appletree,"53 00 1 40W","53 -1.66","POINT(-1.66 53)"
IV1680-230-55,②(2)=,settlement-gentlemen-2|parliament-2|direction|market,MALMESBURY,Wilts,Wiltshire,Malmesbury,Malmsbury,"51 37 2 05W","51.61 -2.08","POINT(-2.08 51.61)"
IV1680-230-56,ʘ,seat-gentleman,"Malmesbury Abby",Wilts,Wiltshire,Malmesbury,Malmsbury,"51 37 2 05W","51.61 -2.08","POINT(-2.08 51.61)"
IV1680-230-57,①,settlement-gentlemen-1,Malmeton,Lincoln,Lincolnshire,Manlake,Manley,"53 36 0 27W","53.6 -0.45","POINT(-0.45 53.6)"
IV1680-230-58,,,Malmsborn,Westmorland,Westmorland,"West Wa.","West Ward","54 39 2 15W","54.65 -2.25","POINT(-2.25 54.65)"
IV1680-230-59,①=,settlement-gentlemen-1|direction|market,MALPAS,Chester,Cheshire,Broxton,Broxtow,"53 06 2 43W","53.1 -2.71","POINT(-2.71 53.1)"
IV1680-230-60,①,settlement-gentlemen-1,Malpas,Monmoth,Monmouthshire,Wenlooge,Wentllooge,"51 41 3 02W","51.68 -3.03","POINT(-3.03 51.68)"
IV1680-231-01,,,Maltby,Lincoln,Lincolnshire,Calceworth,Calceworth,"53 24 0 17E","53.4 0.28","POINT(0.28 53.4)"
IV1680-231-02,,,Maltby,Lincoln,Lincolnshire,Loutheask,Louth-eske,"53 24 0 03E","53.4 0.05","POINT(0.05 53.4)"
IV1680-231-03,①,settlement-gentlemen-1,Maltby,Norfolk,Norfolk,"E. Flegge","West Flegg","52 49 1 59E","52.81 1.98","POINT(1.98 52.81)"
IV1680-231-04,①,settlement-gentlemen-1,Maltby,"York N.R.","Yorkshire North Riding",Langbargh,Langbaurgh,"54 32 0 55W","54.53 -0.91","POINT(-0.91 54.53)"
IV1680-231-05,⛪,parish,Maltby,"York W.R.","Yorkshire West Riding",Strafford,Strafforth,"53 27 1 02W","53.45 -1.03","POINT(-1.03 53.45)"
IV1680-231-06,[V],seat-viscount,Maltby,"York W.R.","Yorkshire West Riding",Strafford,Strafforth,"52 27 1 02W","52.45 -1.03","POINT(-1.03 52.45)"
IV1680-231-07,[B],seat-baron,"Malton Hall","York N.R.","Yorkshire North Riding",Ridal,Ryedale,"54 11 0 34W","54.18 -0.56","POINT(-0.56 54.18)"
IV1680-231-08,(2)=,parliament-2|direction|market,"MALTON New","York N.R.","Yorkshire North Riding",Ridal,Ryedale,"54 11 0 34W","54.18 -0.56","POINT(-0.56 54.18)"
IV1680-231-09,①,settlement-gentlemen-1,"Malton Old","York N.R.","Yorkshire North Riding",Ridal,Ryedale,"54 12 0 33W","54.2 -0.55","POINT(-0.55 54.2)"
IV1680-231-10,⸸,seat-knight,Malvern,Bedford,Bedfordshire,Stodden,Stodden,"52 15 0 27W","52.25 -0.45","POINT(-0.45 52.25)"
IV1680-231-11,①,settlement-gentlemen-1,"Malvern Chase",Worcester,Worcestershire,Upton,Pershore,"52 04 2 14W","52.06 -2.23","POINT(-2.23 52.06)"
IV1680-231-12,②,settlement-gentlemen-2,"Malvern Magna",Worcester,Worcestershire,Upton,Pershore,"52 27 2 13W","52.45 -2.21","POINT(-2.21 52.45)"
IV1680-231-13,①,settlement-gentlemen-1,"Malvern Parva",Worcester,Worcestershire,Upton,Pershore,"52 04 2 14W","52.06 -2.23","POINT(-2.23 52.06)"
IV1680-231-14,[K],seat-king,"Malwood Castle",Southampton,Hampshire,"New Forreß","New Forest","50 57 1 37W","50.95 -1.61","POINT(-1.61 50.95)"
IV1680-231-15,[K],seat-king,"Malwood Lodg",Southampton,Hampshire,"New Forreß","New Forest","50 57 1 38W","50.95 -1.63","POINT(-1.63 50.95)"
IV1680-231-16,①,settlement-gentlemen-1,Mamble,Worcester,Worcestershire,Doddington,Doddingtree,"52 22 2 23W","52.36 -2.38","POINT(-2.38 52.36)"
IV1680-231-17,③,settlement-gentlemen-3,Mamhilad,Monmoth,Monmouthshire,Bergevenny,Abergavenny,"51 47 2 29W","51.78 -2.48","POINT(-2.48 51.78)"
IV1680-231-18,ʘ,seat-gentleman,Manach,Monmoth,Monmouthshire,Bergevenny,Abergavenny,"51 51 2 59W","51.85 -2.98","POINT(-2.98 51.85)"
IV1680-231-19,①,settlement-gentlemen-1,Manach-Llogdy,Pembrock,Pembrokeshire,Kemmes,Kemess,"52 02 4 34W","52.03 -4.56","POINT(-4.56 52.03)"
IV1680-231-20,ʘ,seat-gentleman,Manachty,Glamorgan,Glamorganshire,Miskin,Miskin,"51 44 3 23W","51.73 -3.38","POINT(-3.38 51.73)"
IV1680-231-21,ʘ,seat-gentleman,Manachty,Monmoth,Monmouthshire,Bergevenny,Abergavenny,"51 51 2 54W","51.85 -2.9","POINT(-2.9 51.85)"
IV1680-231-22,ʘ,seat-gentleman,Manacha,Cornwal,Cornwall,Kerryer,"Allerdale Ward","50 18 5 29W","50.3 -5.48","POINT(-5.48 50.3)"
IV1680-231-23,⚓,seaport,Manacles,Cornwal,Cornwall,Kerryer,"Allerdale Ward","50 13 5 26W","50.21 -5.43","POINT(-5.43 50.21)"
IV1680-231-24,⛪,parish,Manaron,Montgomery,Montgomeryshire,Kidriorn,Caereinion,"52 40 3 16W","52.66 -3.26","POINT(-3.26 52.66)"
IV1680-231-25,✋°,settlement-baronet,Manby,Lincoln,Lincolnshire,Loutheask,Louth-eske,"53 26 0 11E","53.43 0.18","POINT(0.18 53.43)"
IV1680-231-26,①,settlement-gentlemen-1,Manby,Lincoln,Lincolnshire,Manlake,Manley,"53 39 0 24E","53.65 0.4","POINT(0.4 53.65)"
IV1680-231-27,①,settlement-gentlemen-1,Manby,"York N.R.","Yorkshire North Riding","Gilling East","Gilling East","54 18 1 09W","54.3 -1.15","POINT(-1.15 54.3)"
IV1680-231-28,②,settlement-gentlemen-2,Manceter,Warwick,Warwickshire,Hemlingford,Hemlingford,"52 38 1 26W","52.63 -1.43","POINT(-1.43 52.63)"
IV1680-231-29,③⛨=,settlement-gentlemen-3+|direction|market,MANCHESTER,Lancaster,Lancashire,Salford,Salford,"53 34 2 06W","53.56 -2.1","POINT(-2.1 53.56)"
IV1680-231-30,①,settlement-gentlemen-1,"Mandevil Thorp",Northampton,Northamptonshire,Sutton,Sutton,"52 09 1 09W","52.15 -1.15","POINT(-1.15 52.15)"
IV1680-231-31,③,settlement-gentlemen-3,Manenden,Essex,Essex,Clavering,Clavering,"51 57 0 10E","51.95 0.16","POINT(0.16 51.95)"
IV1680-231-32,②,settlement-gentlemen-2,Manerbier,Pembrock,Pembrokeshire,Castle-Martin,Castlemartin,"51 45 4 39W","51.75 -4.65","POINT(-4.65 51.75)"
IV1680-231-33,①,settlement-gentlemen-1,Manerdivy,Pembrock,Pembrokeshire,Kilgarran,Kilgerran,"52 09 4 25W","52.15 -4.41","POINT(-4.41 52.15)"
IV1680-231-34,①,settlement-gentlemen-1,Maner-vabon,Carmarthen,Carmarthenshire,Perueth,Perfedd,"52 00 3 58W","52 -3.96","POINT(-3.96 52)"
IV1680-231-35,,,Manesgate,Lincoln,Lincolnshire,Hill,Hill,"53 21 0 06E","53.35 0.1","POINT(0.1 53.35)"
IV1680-231-36,①,settlement-gentlemen-1,Maney,Cambridg,Cambridgeshire,Wichford,Witchford,"52 26 0 18E","52.43 0.3","POINT(0.3 52.43)"
IV1680-231-37,①,settlement-gentlemen-1,"Maney Mannor",Warwick,Warwickshire,Hemlingford,Hemlingford,"52 36 1 48W","52.6 -1.8","POINT(-1.8 52.6)"
IV1680-231-38,⛪,parish,Manfield,"York N.R.","Yorkshire North Riding","Gilling East","Gilling East","54 33 1 20W","54.55 -1.33","POINT(-1.33 54.55)"
IV1680-231-39,①,settlement-gentlemen-1,Mangersbury,Glocester,Gloucestershire,Slaughter,Slaughter,"51 53 1 41W","51.88 -1.68","POINT(-1.68 51.88)"
IV1680-231-40,②,settlement-gentlemen-2,Mangersfield,Glocester,Gloucestershire,Barton,"Barton Regis","51 31 2 38W","51.51 -2.63","POINT(-2.63 51.51)"
IV1680-231-41,⛪,parish,Mangwell,Oxford,Oxfordshire,Langtree,Langtree,"51 35 0 56W","51.58 -0.93","POINT(-0.93 51.58)"
IV1680-231-42,,,Maning,Cornwal,Cornwall,Stratton,Stratton,"51 03 4 37W","51.05 -4.61","POINT(-4.61 51.05)"
IV1680-231-43,①,settlement-gentlemen-1,Maningham,"York W.R.","Yorkshire West Riding",Morley,Morley,"53 49 1 28W","53.81 -1.46","POINT(-1.46 53.81)"
IV1680-231-44,①=,settlement-gentlemen-1|direction|market,MANINGTRE,Essex,Essex,Tendring,Tendring,"52 02 1 06E","52.03 1.1","POINT(1.1 52.03)"
IV1680-231-45,,,Maniton,Cornwal,Cornwall,East,Alstoe,"50 39 4 32W","50.65 -4.53","POINT(-4.53 50.65)"
IV1680-231-46,①,settlement-gentlemen-1,Manley,Chester,Cheshire,Edisbury,Eddisbury,"53 22 2 35W","53.36 -2.58","POINT(-2.58 53.36)"
IV1680-231-47,⛪,parish,Manningford-Abbots,Wilts,Wiltshire,Swanborn,Swanborough,"52 22 1 43W","52.36 -1.71","POINT(-1.71 52.36)"
IV1680-231-48,⛪,parish,Manningford-Crucis,Wilts,Wiltshire,Swanborn,Swanborough,"51 22 1 44W","51.36 -1.73","POINT(-1.73 51.36)"
IV1680-231-49,,,Mannington,Dorset,Dorset,Badbury,Badbury,"50 55 1 52W","50.91 -1.86","POINT(-1.86 50.91)"
IV1680-231-50,✋°,settlement-baronet,Mannington,Norfolk,Norfolk,"S. Erpingham","South Erpingham","52 54 1 07E","52.9 1.11","POINT(1.11 52.9)"
IV1680-231-51,,,Mannor,Durham,Durham,"Chester W","Chester Ward","54 53 1 20W","54.88 -1.33","POINT(-1.33 54.88)"
IV1680-231-52,ʘ,seat-gentleman,"Mansell Court",Hereford,Herefordshire,Grimswarth,Grimsworth,"52 06 2 51W","52.1 -2.85","POINT(-2.85 52.1)"
IV1680-231-53,③⛨,settlement-gentlemen-3+,"Mansell Gamage",Hereford,Herefordshire,Grimsworth,Grimsworth,"52 06 2 50W","52.1 -2.83","POINT(-2.83 52.1)"
IV1680-231-54,⛪,parish,"Mansell Hope",Hereford,Herefordshire,"Grey tree",Greytree,"51 33 2 24W","51.55 -2.4","POINT(-2.4 51.55)"
IV1680-231-55,②,settlement-gentlemen-2,"Mansell Lacy",Hereford,Herefordshire,Grimsworth,Grimsworth,"52 07 2 48W","52.11 -2.8","POINT(-2.8 52.11)"
IV1680-231-56,①,settlement-gentlemen-1,Mansergh,Westmorland,Westmorland,"Lonsdale W.","Lonsdale Ward","54 20 2 17W","54.33 -2.28","POINT(-2.28 54.33)"
IV1680-231-57,③⛨=,settlement-gentlemen-3+|direction|market,MANSFIELD,Nottingham,Nottinghamshire,Broxtow,Broxtow,"52 12 1 02W","52.2 -1.03","POINT(-1.03 52.2)"
IV1680-231-58,③⛨,settlement-gentlemen-3+,"Mansfield Woodhouse",Nottingham,Nottinghamshire,Broxtow,Broxtow,"53 13 1 02W","53.21 -1.03","POINT(-1.03 53.21)"
IV1680-231-59,①,settlement-gentlemen-1,Mansforth,Durham,Durham,"Stockton W.","Stockton Ward","54 42 1 10W","54.7 -1.16","POINT(-1.16 54.7)"
IV1680-231-60,⛪,parish,Manston,Dorset,Dorset,Redlane,Redlane,"51 00 2 15W","51 -2.25","POINT(-2.25 51)"
IV1680-232-01,①,settlement-gentlemen-1,Manthorp,Lincoln,Lincolnshire,Beltislow,Beltisloe,"52 48 0 19W","52.8 -0.31","POINT(-0.31 52.8)"
IV1680-232-02,,,Manthorp,Lincoln,Lincolnshire,Calceworth,Calceworth,"53 20 0 15E","53.33 0.25","POINT(0.25 53.33)"
IV1680-232-03,①,settlement-gentlemen-1,Manthorp,Lincoln,Lincolnshire,Grantham,Grantham,"52 59 0 33W","52.98 -0.55","POINT(-0.55 52.98)"
IV1680-232-04,⛪,parish,Manton,Devon,Devon,Tingbridg,Teignbridge,"50 39 3 51W","50.65 -3.85","POINT(-3.85 50.65)"
IV1680-232-05,ʘ,seat-gentleman,Manton,Nottingham,Nottinghamshire,Bassetlaw,Bassetlaw,"53 21 0 57W","53.35 -0.95","POINT(-0.95 53.35)"
IV1680-232-06,⛪,parish,Manton,Rutland,Rutland,Martinsley,Martinsley,"52 41 0 38W","52.68 -0.63","POINT(-0.63 52.68)"
IV1680-232-07,①,settlement-gentlemen-1,Manton,Wilts,Wiltshire,Selkley,Selkley,"51 27 1 42W","51.45 -1.7","POINT(-1.7 51.45)"
IV1680-232-08,,,Mapanab,Carnarvan,Carnarvonshire,"Lechwed Issa.",Isaf,"53 19 3 39W","53.31 -3.65","POINT(-3.65 53.31)"
IV1680-232-09,①,settlement-gentlemen-1,Maperton,Dorset,Dorset,Cogdean,Cogdean,"50 52 2 05W","50.86 -2.08","POINT(-2.08 50.86)"
IV1680-232-10,②,settlement-gentlemen-2,Maperton,Dorset,Dorset,Redhove,Redlane,"50 52 2 47W","50.86 -2.78","POINT(-2.78 50.86)"
IV1680-232-11,①,settlement-gentlemen-1,Maplebeck,Nottingham,Nottinghamshire,Thurgarton,Thurgarton,"53 10 0 48W","53.16 -0.8","POINT(-0.8 53.16)"
IV1680-232-12,,,Mapleborough,Warwick,Warwickshire,Barlichway,Barlichway,"52 22 1 43W","52.36 -1.71","POINT(-1.71 52.36)"
IV1680-232-13,①,settlement-gentlemen-1,Mapledorwell,Southampton,Hampshire,Basingstoke,Basingstoke,"51 18 0 54W","51.3 -0.9","POINT(-0.9 51.3)"
IV1680-232-14,①,settlement-gentlemen-1,Mapledurham,Oxford,Oxfordshire,Langtree,Langtree,"51 33 0 57W","51.55 -0.95","POINT(-0.95 51.55)"
IV1680-232-15,⸸,seat-knight,Mapledurham,Southampton,Hampshire,Finchdean,"Finch Dean","51 02 0 54W","51.03 -0.9","POINT(-0.9 51.03)"
IV1680-232-16,①,settlement-gentlemen-1,"Maple-Durham Gurney",Oxford,Oxfordshire,Bingfield,Binfield,"51 32 0 55W","51.53 -0.91","POINT(-0.91 51.53)"
IV1680-232-17,⛪,parish,Maplescomb,Kent,Kent,"Sutton La.","Sutton Lath","51 23 0 16E","51.38 0.26","POINT(0.26 51.38)"
IV1680-232-18,ʘ,seat-gentleman,"Maplested Hall",Essex,Essex,Hinckford,Hinckford,"52 02 0 35E","52.03 0.58","POINT(0.58 52.03)"
IV1680-232-19,①⸸,settlement-gentlemen-1|seat-knight,"o Maplested magna",Essex,Essex,Hinckford,Hinckford,"52 02 0 36E","52.03 0.6","POINT(0.6 52.03)"
IV1680-232-20,①,settlement-gentlemen-1,"Maplesdon parva",Essex,Essex,Hinckford,Hinckford,"52 02 0 37E","52.03 0.61","POINT(0.61 52.03)"
IV1680-232-21,⛪,parish,Mapleton,"York E.R.","Yorkshire East Riding",Holderness,Osgoldcross,"53 57 0 02E","53.95 0.03","POINT(0.03 53.95)"
IV1680-232-22,①,settlement-gentlemen-1,Mapperley,Darby,Derbyshire,Appletree,Appletree,"53 04 1 14W","53.06 -1.23","POINT(-1.23 53.06)"
IV1680-232-23,①,settlement-gentlemen-1,Mappleton,Darby,Derbyshire,Wirksworth,Wirksworth,"53 06 1 37W","53.1 -1.61","POINT(-1.61 53.1)"
IV1680-232-24,,,Marbrook,Stafford,Staffordshire,Totmonslow,Totmonslow,"53 16 1 52W","53.26 -1.86","POINT(-1.86 53.26)"
IV1680-232-25,,,Marbury,Chester,Cheshire,Bucklow,Bucklow,"53 26 2 21W","53.43 -2.35","POINT(-2.35 53.43)"
IV1680-232-26,①,settlement-gentlemen-1,Marbury,Chester,Cheshire,Namptwich,Nantwich,"53 05 2 36W","53.08 -2.6","POINT(-2.6 53.08)"
IV1680-232-27,ʘ,seat-gentleman,"Marbury Hall",Chester,Cheshire,Bucklow,Bucklow,"53 23 2 21W","53.38 -2.35","POINT(-2.35 53.38)"
IV1680-232-28,①=,settlement-gentlemen-1|direction|market,MARCH,Cambridg,Cambridgeshire,Wichford,Witchford,"52 36 0 09E","52.6 0.15","POINT(0.15 52.6)"
IV1680-232-29,①,settlement-gentlemen-1,Marcham,Barks,Berkshire,Oke,Alstoe,"51 41 1 13W","51.68 -1.21","POINT(-1.21 51.68)"
IV1680-232-30,⛪,parish,March-Balden,Oxford,Oxfordshire,Ewelm,Ewelme,"51 39 0 56W","51.65 -0.93","POINT(-0.93 51.65)"
IV1680-232-31,①,settlement-gentlemen-1,Marchington,Stafford,Staffordshire,Oflow,"Lewes Rape","52 57 1 43W","52.95 -1.71","POINT(-1.71 52.95)"
IV1680-232-32,①,settlement-gentlemen-1,Marchomley,Salop,Shropshire,"N. Bradford","North Bradford","52 56 2 34W","52.93 -2.56","POINT(-2.56 52.93)"
IV1680-232-33,①,settlement-gentlemen-1,Marcleeve,Warwick,Warwickshire,Barlichway,Barlichway,"52 11 1 40W","52.18 -1.66","POINT(-1.66 52.18)"
IV1680-232-34,✋°②,settlement-baronet|settlement-gentlemen-2,"Marcle magna",Hereford,Herefordshire,Greytree,Greytree,"52 01 2 24W","52.01 -2.4","POINT(-2.4 52.01)"
IV1680-232-35,✋°,settlement-baronet,"Marcle parva",Hereford,Herefordshire,Radlow,Radlow,"52 02 2 24W","52.03 -2.4","POINT(-2.4 52.03)"
IV1680-232-36,①,settlement-gentlemen-1,Marcleton,Dorset,Dorset,Tollerford,Tollerford,"50 51 2 43W","50.85 -2.71","POINT(-2.71 50.85)"
IV1680-232-37,①,settlement-gentlemen-1,Marcross,Glamorgan,Glamorganshire,Ogmore,Ogmore,"51 30 3 35W","51.5 -3.58","POINT(-3.58 51.5)"
IV1680-232-38,⛪,parish,Mardelin,Somerset,Somerset,Taunton,Taunton,"51 03 3 11W","51.05 -3.18","POINT(-3.18 51.05)"
IV1680-232-39,⛪,parish,Marden,Hereford,Herefordshire,Broxash,Broxash,"52 09 2 40W","52.15 -2.66","POINT(-2.66 52.15)"
IV1680-232-40,⛪,parish,Marden,Kent,Kent,"Aylesford La.","Aylesford Lath","51 11 0 29E","51.18 0.48","POINT(0.48 51.18)"
IV1680-232-41,,,Marelet,Northumberl.,Northumberland,"Cocquetda. W.","Coquetdale Ward","51 09 1 46W","51.15 -1.76","POINT(-1.76 51.15)"
IV1680-232-42,,,Marfield,Leicester,Leicestershire,Gartrey,Gartree,"52 43 0 45W","52.71 -0.75","POINT(-0.75 52.71)"
IV1680-232-43,①,settlement-gentlemen-1,Margam,Glamorgan,Glamorganshire,Newcastle,Newcastle,"51 39 3 44W","51.65 -3.73","POINT(-3.73 51.65)"
IV1680-232-44,✋,seat-baronet,"Margam House",Glamorgan,Glamorganshire,Newcastle,Newcastle,"51 39 3 44W","51.65 -3.73","POINT(-3.73 51.65)"
IV1680-232-45,⚓,seaport,"Margaret Bay",Kent,Kent,"Augustine La.","St Augustine Lath","51 07 1 21E","51.11 1.35","POINT(1.35 51.11)"
IV1680-232-46,①,settlement-gentlemen-1,"Margaret Marsh",Dorset,Dorset,Newton,Knowlton,"57 02 2 13W","57.03 -2.21","POINT(-2.21 57.03)"
IV1680-232-47,②,settlement-gentlemen-2,"St. Margaret",Kent,Kent,"Augustine La.","St Augustine Lath","51 24 1 21E","51.4 1.35","POINT(1.35 51.4)"
IV1680-232-48,③⛨⸸⚓,settlement-gentlemen-3+|seat-knight|seaport,"St. Margaret",Kent,Kent,"Aylesford La.","Aylesford Lath","51 24 0 30E","51.4 0.5","POINT(0.5 51.4)"
IV1680-232-49,,,"St. Margaret",Kent,Kent,"Sutton La.","Sutton Lath","51 27 0 17E","51.45 0.28","POINT(0.28 51.45)"
IV1680-232-50,⛪,parish,"St. Margaret Atcliff",Kent,Kent,"Augustine La.","St Augustine Lath","51 09 1 21E","51.15 1.35","POINT(1.35 51.15)"
