IV1680-003-04,"settlement-gentlemen-1",""Acton Trussell"","Staffordshire","Cuttlestone","[52.83, -2.05]","[52.7703, -2.09684]","POINT(-2.09684 52.7703)"
IV1680-003-05,"seat-baronet",""Acton Turfield"","Gloucestershire",""Grumbalds Ash"","[51.56, -2.38]","[51.5105, -2.3657]","POINT(-2.3657 51.5105)"
IV1680-003-06,"settlement-baronet|settlement-gentlemen-3+|seat-knight",""Acton West"","Middlesex","Westminster","[51.55, -0.18]","[51.5369, -0.265538]","POINT(-0.265538 51.5369)"
IV1680-003-07,"",""Adams Chappel"","Dorset","Rowbarrow","[50.63, -2.13]","[50.5684, -2.02982]","POINT(-2.02982 50.5684)"
IV1680-003-08,"settlement-gentlemen-1","Adbaston","Staffordshire","Pirehill","[52.25, -2.28]","[52.2163, -2.40526]","POINT(-2.40526 52.2163)"
IV1680-003-09,"","Adber","Somerset","Horethorne","[51.03, -2.56]","[50.976, -2.54798]","POINT(-2.54798 50.976)"
IV1680-003-10,"parish","Adbolton","Nottinghamshire","Bingham","[52.98, -0.85]","[52.9501, -1.03171]","POINT(-1.03171 52.9501)"
IV1680-003-11,"","Adcot","Shropshire","Pimhill","[52.9, -2.73]","[52.8655, -2.76984]","POINT(-2.76984 52.8655)"
IV1680-003-12,"settlement-baronet|settlement-gentlemen-2","Adderbury","Oxfordshire","Bloxham","[52.06, -1.28]","[52.018, -1.32092]","POINT(-1.32092 52.018)"
IV1680-003-13,"seat-earl","Adderbury","Oxfordshire","Bloxham","[52.06, -1.28]","[52.018, -1.32092]","POINT(-1.32092 52.018)"
IV1680-003-14,"seat-gentleman","Adderley-Green","Staffordshire","Totmonslow","[53.08, -1.93]","[52.9968, -2.03438]","POINT(-2.03438 52.9968)"
IV1680-003-15,"parish","Addesham","Kent",""St Augustine Lath"","[51.23, 1.15]","[51.2609, 1.19124]","POINT(1.19124 51.2609)"
IV1680-003-16,"settlement-gentlemen-1","Addingham",""Yorkshire West Riding"","Staincliffe","[54, -1.6]","[53.9441, -1.86852]","POINT(-1.86852 53.9441)"
IV1680-003-17,"settlement-knight","Addington","Buckinghamshire","Buckingham","[51.98, -0.85]","[51.9492, -0.928769]","POINT(-0.928769 51.9492)"
IV1680-003-18,"settlement-knight","Addington","Surrey","Croydon","[51.41, 0.01]","[51.3521, -0.0360008]","POINT(-0.0360008 51.3521)"
IV1680-003-19,"settlement-gentlemen-2",""Addington Magna"","Northamptonshire","Huxloe","[52.38, -0.56]","[52.3394, -0.613039]","POINT(-0.613039 52.3394)"
IV1680-003-20,"settlement-gentlemen-1",""Addington Parva"","Northamptonshire","Huxloe","[52.38, -0.55]","[52.3434, -0.599916]","POINT(-0.599916 52.3434)"
IV1680-003-21,"settlement-gentlemen-1","Addle",""Yorkshire West Riding"","Skyrack","[53.91, -1.31]","[53.8518, -1.6389]","POINT(-1.6389 53.8518)"
IV1680-003-22,"settlement-gentlemen-1","Addlesthorp","Gloucestershire","Slaughter","[51.85, -1.66]","[51.9424, -1.65193]","POINT(-1.65193 51.9424)"
IV1680-003-23,"","Addleston","Surrey","Blackheath","[51.41, -0.38]","[51.3832, -0.496449]","POINT(-0.496449 51.3832)"
IV1680-003-24,"parish","Addlethorp","Lincolnshire","Candleshoe","[53.28, 0.4]","[53.1747, 0.361005]","POINT(0.361005 53.1747)"
IV1680-003-25,"seat-knight",""Aderthell House"",""Yorkshire West Riding"","Strafforth","[53.56, -1.21]","[53.5269, -1.40002]","POINT(-1.40002 53.5269)"
IV1680-003-26,"parish","Adingham","Cumberland",""Cumberland Ward"","[55, -1.98]","[54.9505, -2.16466]","POINT(-2.16466 54.9505)"
IV1680-003-27,"parish","Adlingfleet",""Yorkshire West Riding"","Osgoldcross","[53.75, -0.51]","[53.6859, -0.70328]","POINT(-0.70328 53.6859)"
IV1680-003-28,"settlement-gentlemen-2","Adlington","Cheshire","Macclesfield","[53.41, -1.98]","[53.3413, -2.14932]","POINT(-2.14932 53.3413)"
IV1680-003-29,"settlement-gentlemen-1","Adlington","Lancashire","Leyland","[52.7, -2.46]","[52.6731, -2.51581]","POINT(-2.51581 52.6731)"
IV1680-003-30,"","Admaston","Shropshire",""South Bradford"","[52.76, -2.48]","[52.722, -2.5393]","POINT(-2.5393 52.722)"
IV1680-003-31,"","Admaston","Staffordshire","Pirehill","[52.88, -1.85]","[52.816, -1.8895]","POINT(-1.8895 52.816)"
IV1680-003-32,"settlement-gentlemen-1","Admington","Gloucestershire","Kiftsgate","[52.15, -1.56]","[52.2045, -1.69491]","POINT(-1.69491 52.2045)"
IV1680-003-33,"","Adney","Shropshire",""South Bradford"","[52.8, -2.4]","[52.7428, -2.46193]","POINT(-2.46193 52.7428)"
IV1680-003-34,"parish","Adonburgh","Nottinghamshire","Broxtow","[53.05, -1.05]","[52.9863, -1.21564]","POINT(-1.21564 52.9863)"
IV1680-003-35,"parish","Adrington","Devon","Braunton","[51.16, -4.06]","[51.0824, -3.92851]","POINT(-3.92851 51.0824)"
IV1680-003-36,"","Adrington","Sussex",""Arundel Rape"","[50.85, -0.56]","[50.8376, -0.58606]","POINT(-0.58606 50.8376)"
IV1680-003-37,"settlement-knight","Adscomb","Surrey","Croydon","[52.4, -0]","[52.4135, -0.0295243]","POINT(-0.0295243 52.4135)"
IV1680-003-38,"settlement-gentlemen-1","Adset","Gloucestershire","Westbury","[51.75, -2.28]","[51.7506, -2.33467]","POINT(-2.33467 51.7506)"
IV1680-003-39,"parish","Adstock","Buckinghamshire","Buckingham","[51.98, -0.85]","[51.9492, -0.928769]","POINT(-0.928769 51.9492)"
IV1680-003-40,"settlement-baronet","Adston","Northamptonshire","Norton","[52.21, -1.05]","[52.1614, -1.14902]","POINT(-1.14902 52.1614)"
IV1680-003-41,"settlement-gentlemen-1","Advene","Cornwall","Lesnewth","[50.73, -4.8]","[50.5845, -4.67153]","POINT(-4.67153 50.5845)"
IV1680-003-42,"settlement-gentlemen-1","Adwalton",""Yorkshire West Riding"","Morley","[53.83, -1.38]","[53.7546, -1.65583]","POINT(-1.65583 53.7546)"
IV1680-003-43,"parish","Adwel","Oxfordshire","Lewknor","[51.7, -0.86]","[51.7016, -0.97213]","POINT(-0.97213 51.7016)"
IV1680-003-44,"settlement-gentlemen-1",""Adwick upon Dun"",""Yorkshire West Riding"","Strafforth","[53.55, -1.11]","[53.5047, -1.33643]","POINT(-1.33643 53.5047)"
IV1680-003-45,"settlement-gentlemen-1",""Adwick upon Stratton"",""Yorkshire West Riding"","Strafforth","[53.55, -1.1]","[53.5058, -1.32979]","POINT(-1.32979 53.5058)"
IV1680-003-46,"settlement-gentlemen-1","Affordby","Leicestershire",""East Goscote"","[52.83, -0.83]","[52.775, -0.965507]","POINT(-0.965507 52.775)"
IV1680-003-47,"settlement-gentlemen-1","Aflington","Dorset","Blandford","[50.66, -2.1]","[50.5968, -2.00555]","POINT(-2.00555 50.5968)"
IV1680-003-48,"parish","Afpudel","Dorset","Rowbarrow","[50.81, -2.3]","[50.7573, -2.27929]","POINT(-2.27929 50.7573)"
IV1680-003-49,"","Agaiere","Anglesey","Twrcelyn","[52.65, -3.16]","[52.6142, -3.19083]","POINT(-3.19083 52.6142)"
IV1680-003-50,"settlement-gentlemen-1","Agborough","Worcestershire","Halfshire","[52.41, -2.13]","[52.3958, -2.27052]","POINT(-2.27052 52.3958)"
